964| 211| 889
30947| 17616| 889
33556| 18298| 889
40371| 24455| 889
43971| 26280| 889
51642| 32249| 889
59296| 36481| 889
64884| 41062| 889
65817| 42409| 889
69898| 44730| 889
75695| 49888| 889
85047| 55593| 889
91001| 58461| 889
93356| 59520| 889
94246| 59957| 889
97275| 61437| 889
97913| 61824| 889
99689| 62665| 889
104992| 65175| 889
106318| 67137| 889
107574| 69015| 889
109352| 75301| 889
112261| 77648| 889
112347| 77726| 889
117741| 89528| 889
123196| 100378| 889
128899| 103844| 889
130968| 105666| 889
131774| 106386| 889
137697| 111333| 889
139055| 112666| 889
139881| 113136| 889
153628| 121215| 889
156199| 122409| 889
163200| 124977| 889
173948| 129709| 889
180597| 132980| 889
183083| 133986| 889
214576| 150192| 889
219669| 156269| 889
221145| 157956| 889
224102| 160497| 889
224468| 160648| 889
230811| 164165| 889
234008| 165810| 889
237918| 167991| 889
247296| 172032| 889
254363| 175260| 889
258949| 177251| 889
259581| 177575| 889
266451| 180907| 889
294645| 194813| 889
307968| 200517| 889
308556| 200822| 889
309742| 201421| 889
310329| 201724| 889
314256| 203451| 889
316711| 204469| 889
331228| 210560| 889
333003| 211432| 889
346963| 217903| 889
347437| 218133| 889
377491| 231251| 889
377798| 231392| 889
381858| 233102| 889
399963| 240849| 889
414983| 247343| 889
427180| 252576| 889
429503| 253621| 889
431320| 254353| 889
448019| 261852| 889
476358| 275759| 889
483016| 279219| 889
487213| 280931| 889
490663| 282572| 889
493192| 283721| 889
511421| 292323| 889
537406| 303678| 889
550562| 310970| 889
600118| 332146| 889
606677| 334765| 889
609788| 336097| 889
613382| 337631| 889
615056| 338293| 889
620932| 340718| 889
634665| 346466| 889
662651| 358446| 889
663233| 358662| 889
677424| 365099| 889
677554| 365208| 889
683662| 367656| 889
687824| 369537| 889
691765| 371191| 889
693475| 372045| 889
714436| 381100| 889
728110| 387000| 889
741017| 392807| 889
743353| 393889| 889
816656| 426290| 889
830947| 432929| 889
830889| 432906| 889
846973| 440223| 889
855542| 444118| 889
902039| 464363| 889
921664| 472647| 889
953214| 486035| 889
956297| 487242| 889
958918| 488355| 889
960077| 488824| 889
983088| 497914| 889
985997| 499167| 889
995827| 503103| 889
1022260| 514682| 889
1022271| 514687| 889
1023650| 515191| 889
1023638| 515185| 889
1024649| 515573| 889
1031522| 518074| 889
1048583| 525187| 889
1062447| 531159| 889
1088195| 541427| 889
1088883| 541708| 889
1091259| 542628| 889
1092251| 542982| 889
1123565| 555514| 889
1166668| 573082| 889
1173457| 575647| 889
1214415| 592462| 889
1217029| 593504| 889
1239746| 603337| 889
1267721| 614724| 889
1273799| 617178| 889
1275777| 617915| 889
1290438| 623875| 889
1314483| 633722| 889
1349172| 648021| 889
1357711| 651204| 889
1359975| 652319| 889
1402219| 669979| 889
1408129| 672385| 889
1408131| 672386| 889
1428440| 681058| 889
1442432| 686575| 889
1449328| 689432| 889
1456202| 692179| 889
1467188| 696842| 889
1472883| 699073| 889
1492018| 707016| 889
1521507| 719228| 889
1530332| 722827| 889
1531669| 723309| 889
1565096| 736606| 889
1565399| 736756| 889
1576663| 741409| 889
1587558| 745619| 889
1613538| 756339| 889
1625127| 761480| 889
1633724| 764918| 889
1644841| 769611| 889
1666116| 778333| 889
1693335| 789518| 889
1709931| 795944| 889
1740750| 808701| 889
1781158| 825034| 889
1784915| 826756| 889
1799734| 834042| 889
1803912| 836007| 889
1805642| 836718| 889
1811324| 838989| 889
1819528| 842201| 889
1834791| 848435| 889
1849642| 854660| 889
1851059| 855246| 889
1869582| 863016| 889
1881933| 868086| 889
1915628| 881645| 889
1916915| 882164| 889
1932663| 889594| 889
1948806| 896310| 889
1949504| 896621| 889
1959399| 900679| 889
1976579| 906860| 889
1990363| 912128| 889
1997567| 914951| 889
1999064| 915576| 889
2011334| 920587| 889
2012617| 921066| 889
2019725| 923758| 889
2022339| 924789| 889
2022879| 924965| 889
2027678| 926722| 889
2032658| 928621| 889
2055866| 937871| 889
2065811| 941838| 889
2069680| 943428| 889
2094697| 952978| 889
2094820| 953007| 889
2102989| 956235| 889
2103037| 956254| 889
2118758| 962267| 889
2125900| 965134| 889
2171072| 982683| 889
2178684| 985522| 889
2217437| 998055| 889
2224338| 1000882| 889
2231551| 1003792| 889
2234325| 1004779| 889
2241892| 1007525| 889
2256333| 1013075| 889
2273359| 1019618| 889
